ainsi,そうすれば
du moins,少なくとも
au moins,少なくとも
au contraire,反対に
cependant,しかしながら
néanmoins,しかしながら
par contre,その代わり
pourtant,それでも
toutefois,しかしながら
alors,その時
d'ailleurs,そのうえ
de plus,そのうえ
en plus,そのうえ
du reste,それに
en outre,そのうえ
ensuite,それから
puis,それから
bref,要するに
enfin,結局
en somme,要するに
au bout du compte,要するに
par conséquent,したがって
par suite de,の結果
en Vant,することによって
comme,なので
puisque,であるからには
quand,ーしたとき、ーなのに
lorsque,とき
si,条件
quoique 接,譲歩
parce que,なぜなら
afin que 接,するために
de sorte que 接,するように
de sorte que 直,その結果ーである
alors,その結果ーである
bien que 接,にもかかわらず
quand même,それでも
tout de même,それでも
à condition que 接,なら
alors que,の時に
dès que,するやいなや
aussitôt que,するやいなや
ainsi que,のように
de même que,ー同様に
